あい	阿井,愛,曾,相,藍,會
かわらさき	河原﨑,河原崎,川原崎
かわらざき	河原崎,瓦崎,川原崎
かわらじ	河原地
かわらたに	瓦谷
かわらだ	河原田,瓦田,川原田
かわらだに	瓦谷
かわらづか	河原塚
かわらばた	河原畑
かわらばやし	河原林,瓦林,川原林
かわらぶき	瓦葺
かわらもと	瓦本
かわらや	瓦家,川原谷
かわりゅう	河流
かわわ	河和,川和
かわわき	河脇,川脇
かわわけ	川分
かわわだ	川和田
かわんど	川人
かん	官,幹,管,簡,韓,菅,姜
かんお	神尾
かんおん	観音
かんかわ	寒川,勘川
かんがわ	寒川,勘川
かんき	神吉,神木
かんくら	完倉
かんけ	管家,菅家
かんこ	神戸
かんこう	鑑江
かんごおり	神郡
かんさい	閑歳
かんさく	神作
かんざ	神座
かんざか	勘坂
かんざき	勘崎,官崎,歓崎,神﨑,神崎,神先,神前,神嵜,菅崎
かんざく	神作
かんざと	神里
かんざわ	官沢,官澤,神沢,神澤
かんじゃ	神社
かんじや	貫地谷
かんじょう	官上,神定
かんじん	勘甚
かんずい	澗随,澗膸,澗隨
かんぜ	観世
かんたけ	寒竹
かんたに	看谷
かんだ	苅田,勘田,管田,観田,鑑田,閑田,上田,神田,菅田,諫田
かんだか	神高
かんだち	神立
かんだつ	神達,神立
かんだて	神立
かんだばし	神田橋
かんち	冠地
かんちか	菅近
かんちく	寒竹
かんで	寒出
かんでん	勘傳
かんとう	関東,神東,神頭,菅藤,菅頭
かんど	神戸,神門
かんどう	勘藤,観堂,貫洞,還藤,神藤
かんどり	香取,神取,神鳥
かんな	漢那,神名
かんなか	甘中
かんなぎ	神奈木
かんなべ	間鍋,神辺
かんなみ	神南,菅波
かんなり	金成,神成
かんなん	河南
かんねん	閑念
かんの	冠野,寒野,勧野,官能,官野,寛野,漢野,管野,簡野,観野,貫野,閑野,神呪,神能,神農,神野,菅納,菅野
かんのう	官能,金納,神呪,神納,神能,菅能
かんのうじ	感王寺
かんのとう	神野藤
かんのんじ	観音寺
かんのんどう	観音堂
かんのんばやし	観音林
かんば	勘場,上場,神場,神庭,神波
かんばい	寒梅
かんばし	神橋,芳
かんばやし	管林,上林,神林
かんばやしやま	上林山
かんばら	蒲原,鎌原,関原,上原,神原
かんぶ	神部
かんぷう	寒風
かんべ	上部,神戸,神部,神辺,神邊,神邉
かんべがわ	神戸川
かんぼう	神棒
かんま	菅間
かんまい	上舞
かんまき	上牧
かんまち	上町
かんまつせ	上松瀬
かんまにわ	上馬庭
かんまる	上丸
かんむら	上村
かんむり	冠
かんめい	貫名
かんめら	勘米良,上米良
かんもり	神森
かんもん	神門
かんや	官谷,歸家
かんやけ	神宅
かんやま	完山
かんり	柬理
かんろ	甘露
かんろくの	勘六野
かんろじ	甘露寺
がい	賀井
がいの	我伊野
がう	我有
がうち	賀内
がうん	臥雲
がきや	我喜屋
がく	岳
がくはら	額原
がくはり	覚張
がくまさわ	嶽間沢
がけした	峨家下
がさ	賀佐
がしゃ	我謝
がじゃ	我謝
がたなが	潟永
がたやま	潟山
がっこう	月光
がっしょう	合掌
がっとう	月東
がっぱ	甲把
がっぽ	合浦
がっぽう	合寶
がと	我戸
がなは	我那覇
がねこ	我如古
がばた	蒲田
がぶ	我部
がべ	我部
がま	蒲
がまた	蒲田
がまだ	蒲田
がまぬま	蒲沼
がまの	蒲野
がまん	我慢,我満
がも	蒲生
がもう	蒲生
がや	我谷
がらいけ	柄池
がらん	加覧
がわ	側
がわさわ	椛沢,蒲沢
がわせ	側瀬
がわはら	側原
がんえい	願永
がんか	願化
がんこ	雁子,鳫子
がんこう	雁行
がんこうじ	願興寺
がんさ	元佐
がんざわ	鴈澤
がんせ	雁瀬
がんだ	雁田
がんちょう	雁長
がんとう	丸藤
がんどう	丸藤
がんにょ	元女
がんの	雁野,鴈野,鳫野
がんばら	厂原
がんべ	雁部
がんみょう	元明
がんりゅう	眼龍
き	紀
きい	喜井,紀伊,紀井,記伊,記井,城井,木井
きいくに	紀伊国,紀伊國
きいち	鬼一,生一
きいのもと	紀伊埜本
きいれ	喜入
きうえ	木植
きうち	紀内,記内,城内,木内
きうみ	黄海,鬼海
きうら	木浦
きえだ	木枝
きお	木尾
きおい	鬼追
きおか	喜岡,紀岡,木岡
きおり	木織
きかい	鬼海,鬼界
きかた	木方
きかま	木鎌
きかわ	紀川,鬼川,木川,木皮
きかわだ	黄川田,木川田
きが	気賀,木我,木賀,氣賀,氣駕
きがさわ	気賀澤,氣賀澤
きがみ	木上
きがわ	黄川,城川,木川,木皮
ききつ	喜々津
ききづ	喜々津
ききま	聞間
ききゅう	木久
ききょう	桔梗
きぎ	喜木
きく	規矩,菊,橲久,禧久
きくい	菊井
きくいち	菊一
きくいり	菊入
きくうえ	菊植
きくうち	菊内
きくおか	菊岡
きくかわ	菊川
きくがわ	喜久川,菊川
きくこ	菊子
きくさき	菊崎
きくさと	菊里
きくさわ	菊沢,菊澤
きくざき	菊咲,菊崎
きくざと	喜久里
きくざわ	菊沢,菊澤
きくしま	菊島,菊嶋
きくすい	菊水
きくた	喜久田,菊田
きくたけ	菊竹,菊武
きくたに	菊谷,鞠谷,聞谷
きくち	規矩智,菊知,菊地,菊智,菊池
きくちはら	菊地原
きくちばら	菊地原
きくつぎ	菊次
きくづま	菊妻
きくなか	菊仲
きくなが	喜久永,菊永
きくに	喜国
きくの	菊野
きくはら	菊原
きくふじ	菊藤
きくま	菊間
きくみ	菊見
きくむら	喜久村,菊村
きくもと	菊本,鞠本
きくもり	菊森,菊盛
きくや	菊屋,菊谷,菊矢
きくやま	喜久山,菊山
きくら	木倉
きくらく	菊楽
きぐち	木口
きぐちや	木口屋
きぐれ	木暮
きけがわ	亀ケ川,亀掛川,亀卦川
きこ	喜古,木子
きこう	亀甲,木興
きこく	枳穀
きこじま	鬼児島
きこや	亀甲谷
きご	木子
きごし	城越,木越
きごろ	木頃
きさ	吉舎,木佐
きさい	木済,木濟
きさいち	私市
きさか	木坂,木阪
きさき	薪先,木佐木,木咲,木崎
きさきばる	木崎原
きさたと	北里
きさたに	木佐谷
きさだ	幾左田,木貞
きさぬき	木佐貫
きさもり	木佐森
きさら	木皿
きさらぎ	如月,木皿儀
きさらづ	木更津
きさわ	鬼澤,木澤
きざき	木﨑,木崎,木嵜
きざわ	鬼沢,木沢,木澤
きし	岸,喜始,喜志,幾志,紀氏,貴志,来住,來住
きしい	岸井
きしうえ	岸上
きしえ	岸江
きしお	岸尾
きしおか	岸岡
きしかけ	岸懸
きしかげ	岸蔭
きしかわ	岸川
きしがみ	岸上
きしがわ	岸川
きしき	岸木,吉敷
きしぎ	岸木
きしさと	岸里
きしした	岸下
きしぞえ	岸副
きしぞの	岸園
きした	木下
きしたか	岸髙,岸高
きしたに	岸谷
きしだ	岸田
きしつ	鬼室
きしな	岸科,岸名,木科
きしなが	岸永
きしなみ	岸波,岸並,岸浪
きしね	岸根
きしの	岸野,木住野,来住野
きしはた	岸端
きしはら	岸原
きしば	岸場,岸塲
きしばた	岸端
きしばやし	岸林
きしぶち	岸渕
きしべ	岸部,岸邊,岸邉
きしほ	岸保
きしま	岸間,喜志麻,貴島,貴嶋,杵島,木島,木嶋
きしまえ	岸前
きしみ	岸見
きしみず	岸水
きしみね	岸峯
きしむね	岸宗
きしむら	岸村
きしもと	岸本
きしゃば	喜舎場
きしや	岸谷
きしやま	岸山
きしゅ	寄主
きしゅう	紀洲
きしら	岸良
きしろ	稀代,木城,木代,木白
きしわだ	岸和田
きしんど	岸人
きじ	喜治,喜地,貴治,木地
きじたに	木地谷,雉子谷
きじだに	雉子谷
きじつ	其日
きじとり	雉鳥
きじなみ	雉子波
きじの	雉野
きじま	喜島,喜嶋,貴島,鬼島,杵島,木島,木嶋,来島,来嶋,雉間
きじまや	木嶋谷
きじむた	雉子牟田
きじもと	雉本
きじや	木次谷
きじやま	木地山
きじょう	鬼城
きす	木須
きすい	木須井
きすき	木透
きすぎ	来生
きすな	来住南
きすみ	木栖
きず	木津
きずか	木塚
きずき	城
きずみ	木住,来住
きずみの	木住野
きせ	黄瀬,喜瀬,吉瀬,木瀬,木勢
きせき	幾石
きせん	気仙,氣仙
きそ	競,木曽
きそう	競
きそだ	木曽田
きその	木曽野
きそはら	木曽原
きぞえ	木添
きた	喜多,喜田,喜夛,貴多,城多,北,木多,木太,木田,来田,耒田
きたあらし	北嵐
きたい	希代,稀代,稀与,鍛,鍛代,北井,北居
きたいけ	北池
きたいずみ	北泉
きたいち	北市
きたいぬい	北乾
きたうえ	北上
きたうえだ	北上田
きたうじ	北氏
きたうち	北内
きたうら	北浦,北裏
きたえ	北栄
きたお	喜多尾,北尾
きたおう	北王
きたおおじ	北大路
きたおか	貴田岡,北岡
きたおく	北奥
きたおち	北落
きたおも	北面
きたおり	北折
きたかく	北角
きたかぜ	北風
きたかた	北方
きたかど	北角,北門
きたかまえ	北構
きたかみ	北上
きたかわ	北川
きたがいと	北垣戸,北垣内
きたがき	北垣
きたがた	北潟,北形,北方
きたがたや	北潟谷
きたがち	北陸
きたがみ	北上,北神
きたがわ	喜多川,北河,北川,北側,木田川
きたがわら	北河原,北川原
きたき	北木,木滝
きたきど	北城戸
きたきみ	北龍
きたぎし	北岸
きたくに	北国
きたくぼ	北久保
きたくら	北倉
きたぐち	北口
きたこうじ	北小路
きたこが	北古賀
きたこし	北越
きたご	北後
きたごう	北郷
きたごおり	北郡
きたさか	北坂,北阪
きたさき	北崎
きたさこ	北迫
きたさと	北里
きたざき	喜多崎,北崎
きたざこ	北迫
きたざと	北里
きたざわ	喜多澤,北沢,北澤
きたしば	北芝
きたしま	喜多嶋,北島,北嶋
きたしょう	北庄
きたしょうじ	北庄司
きたしらかわ	北白川
きたしろ	喜多代,北城,北代,来代
きたじ	北地
きたじま	喜多島,喜多嶋,北島,北嶋,北嶌
きたじょ	北所
きたじょう	喜多條,北上,北城,北條
きたじり	北尻
きたすか	北須賀
きたすが	北須賀
きたずみ	北角,北隅,北住
きたせ	北瀬
きたせい	吉清,北清
きたぞえ	北添
きたぞの	北園,北薗
きたたに	北谷
きただ	喜多田,北田,来田
きただい	北代,北台,北臺,来代,耒代
きただき	北滝
きただて	北舘,北楯
きただに	北谷,北谿
きたち	北地
きたつぐ	北次
きたつじ	北辻,北逵
きたつめ	北爪
きたつる	北津留
きたづめ	北詰,北爪
きたで	北出
きたとみ	北冨
きたど	北戸
きたどころ	北所
きたどの	北殿
きたどまり	北泊
きたな	北名
きたなか	北中,北仲
きたなが	北永
きたなみ	北浪
きたに	喜谷,気谷,記谷,木谷,氣谷
きたにし	北西
きたね	北根
きたの	喜多埜,喜多野,貴多野,北埜,北濃,北能,北農,北野,来野
きたのうえ	北野上
きたのさこ	北之迫
きたのその	北ノ園,北之園
きたのぼう	北之坊,北之防
きたのや	北野谷
きたはし	北橋
きたはた	北畑
きたはば	喜多幅
きたはま	北浜,北濱
きたはら	北原
きたば	北場,北波
きたばた	北端,北畑
きたばたけ	北畠
きたばやし	北林
きたひら	北平
きたひろ	北廣
きたふく	北福
きたぶくろ	北袋
きたぶん	北分
きたべ	北部
きたべっぷ	北別府
きたほら	北洞
きたほり	北堀
きたぼり	北堀
きたま	北間
きたまき	北牧
きたまち	北町
きたまつ	北松
きたまる	北丸
きたみ	喜多見,北見,木多見
きたみかど	北御門
きたみち	北道
きたみつ	北密
きたみね	北峯
きたみや	北宮
きたむかい	北向
きたむき	北向
きたむら	喜多村,喜田村,北村,北邨,来村,来田村
きたむろ	北室
きため	北目
きためい	北明
きたもと	喜夛本,北元,北本
きたもり	北守,北森
きたもん	北門
きたや	北宅,北谷,北矢
きたやま	喜多山,北山,来山,來山
きたゆぐち	北湯口
きたよし	北𠮷,北吉
きたる	木樽
きたわき	北脇
きたわたせ	北渡瀬
きたん	喜旦
きだ	黄田,喜多,喜田,寄田,機田,紀田,貴田,城多,善田,木多,木田,来田,氣田
きだい	希代
きだし	木出
きだち	木達,木立
きだて	木建
きだに	喜谷,木谷
きだはし	木田橋
きだわら	木俵
きちかま	吉鎌
きちかわ	吉川
きちくに	貴地邦
きちこうじん	吉高神
きちじま	吉島,吉嶋
きちせ	吉瀬
きちせい	吉清
きちぜ	吉瀬
きちま	吉間
きちらく	吉楽
きぢ	木地
きっか	吉家
きっかわ	吉川,橘川
きっこう	亀甲,吉向
きっこうじ	吉光寺
きっこうじん	吉行神,吉高神
きった	橘田
きったか	吉高,橘高,橘鷹
きって	切手
きつ	吉津,木津
きつい	橘井
きつかわ	橘川,木津川
きつき	木付,木附
きつぎ	木次
きつくり	木造
きつた	橘田
きつたか	橘高
きつだ	橘田
きつどう	橘堂
きつない	橘内
きつねざき	狐崎
きつねづか	狐塚,狐塚
きつもと	橘本
きつや	橘谷
きつれがわ	喜連川
きつわ	橘和
きづ	岐津,木津
きづか	木塚,木塚
きづき	木月,木津喜,木付,木附
きづくり	木造
きづたに	木津谷
きづな	木綱
きてい	喜禎
きてがわ	北川
きてら	木寺
きでな	貴傳名
きでら	木寺
きとう	喜藤,紀藤,貴答,鬼頭,木藤,竒藤
きとうご	木藤古
きとく	喜讀,寄特,亀德,木德,木徳
きとら	記虎,貴虎,貴寅,木虎,木藤良,木寅
きとろ	木渡路
きど	喜渡,幾度,貴戸,城戸,城門,木戸
きどあき	木戸秋
きどう	貴堂,木藤,木道
きどおか	木戸岡
きどおし	木通
きどがみ	木戸上
きどがわ	木戸川
きどぐち	城戸口,木戸口
きどころ	樹所,城処,城所,木所
きどさき	城戸崎
きどじ	木戸地
きどた	木戸田
きどで	木戸出
きどの	城殿
きどま	木戸間
きな	嘉納,喜納,喜名
きない	喜内,木内
きなえ	木苗
きなか	喜中,紀中
きなが	木永,木長
きなし	木梨
きなせ	木名瀬
きなみ	木南,木並,木浪
きなめ	木滑
きなめり	木滑
きなり	喜成
きなん	木南
きにわ	木庭
きぬい	絹井
きぬうら	衣浦
きぬかわ	衣川,絹川
きぬがさ	衣笠,絹笠
きぬがわ	衣川,絹川
きぬた	衣田,絹田
きぬたに	絹谷
きぬの	絹野
きぬはた	衣畑
きぬまき	衣巻,絹巻
きぬむら	絹村
きぬもと	衣本
きぬや	絹谷
きぬわ	衣輪
きね	木根
きねかわ	杵川
きねざき	杵崎
きねはら	甲原
きねふち	杵淵
きねぶち	杵淵,杵渕,木根淵,木根渕
きねむち	杵鞭
きねむら	杵村
きねり	木練
きの	喜野,紀,紀野,記野,木野
きのう	喜納,寄能,貴納,木納
きのうえ	木上
きのうち	紀之内,木ノ内,木内,木之内,木野内
きのえ	甲
きのおか	紀ノ岡
きのくに	紀国
きのくにや	紀國谷
きのさき	木野崎
きのさだ	紀ノ定
きのし	喜熨斗
きのした	樹下,木ノ下,木下,木之下
きのしま	木ノ島,木ノ嶋
きのしろ	城代,木代
きのせ	木ノ瀬,木之瀬
きのた	木野田
きのだ	木野田
きのと	城ノ戸,城戸,木ノ戸,木野戸
きのね	木根
きのひら	木ノ平
きのみや	木宮
きのむら	木野村
きのめ	木野目
きのもと	木ノ元,木ノ本,木之本,木野本
きのやま	木埜山,木野山
きのわき	木ノ脇
きはし	木橋
きはた	木幡,木畑,木畠
きはな	木花
きはら	季原,鬼原,木原
きば	季羽,騎馬,木羽,木場,木葉
きばくら	木庭袋
きばし	木橋
きばた	木場田,木幡,木畑
きばな	木花
きばもと	木場本
きばやし	木林
きひさ	木久
きひら	紀平,木平
きび	吉備,氣比
きびつ	吉備津
きびなが	吉備永
きふく	喜福
きふじ	木藤
きふね	貴船,木舟,木船,木舩
きぶかわ	癸生川
きぶし	木伏,木歩士
きぶね	貴船,貴舩,木船
きべ	岐部,木部,木邊
きほう	亀宝,木方
きぼ	木保
きまえ	木前
きませ	木間瀬
きまた	木股,木全,木俣
きまち	木町,来海,來海
きまつか	木間塚
きみ	君
きみおか	君岡
きみかど	公門
きみかわ	君川
きみがふくろ	君ヶ袋
きみがぶくろ	君ヶ袋
きみさわ	君澤
きみしま	貴美島,君島,君嶋
きみじま	君島,君嶋
きみじり	木見㞍
きみず	木水
きみずか	君塚
きみた	君田
きみつ	木光,木密,木蜜
きみつか	君塚
きみつき	君付
きみづか	君塚,君塚
きみなみ	君波,木南
きみなりた	君成田
きみの	君野
きみはら	君原,公原
きみもり	公森
きみや	木宮,木實谷
きみやす	君安
きみやま	喜見山,君山
きみょう	木明
きみら	君羅
きみわだ	君和田
きむら	喜村,季村,紀村,貴村,貴邑,木村,木邑,木邨,来村
きむろ	紀室,木室
きめ	木目
きめざわ	木目沢
きめた	木目田
きめだ	木目田
きもち	木持
きもつき	肝月,肝付
きもつけ	肝付
きもと	喜本,紀本,樹本,木許,木元,木本
きもり	喜森,樹森,城森,木守,木森
きゃく	客
きゃくでん	客殿
きゃくの	客野
きゃくもと	客本
きゃしゃば	喜舎場
きゃん	喜屋武
きや	喜屋,紀谷,貴家,木屋,木家,木谷,木矢,氣谷
きやかわうち	木屋川内
きやしき	鬼屋敷
きやじ	木屋路
きやす	喜安,木安
きやたけ	喜屋武
きやだ	喜屋田
きやなぎ	鬼柳,木柳
きやはた	木谷畑
きやはら	喜屋原
きやぶ	木薮
きやま	喜山,帰山,貴山,鬼山,樹山,城山,木山
きやみ	木闇
きやむら	喜家村,木谷村,木矢村
きやん	喜屋武
きゅうい	休井
きゅうえ	久恵,久江
きゅうかわ	久川
きゅうき	久喜,久木
きゅうきた	久北
きゅうこ	久古
きゅうごう	久郷
きゅうさい	久才
きゅうさか	休坂
きゅうさき	久崎
きゅうざき	久崎
きゅうし	久司
きゅうしき	急式
きゅうしま	久島,久嶋
きゅうしん	久新
きゅうじ	久次
きゅうせ	久瀬
きゅうぜん	給前
きゅうそじん	久曽神
きゅうぞう	久蔵
きゅうと	久戸
きゅうとく	久徳
きゅうな	喜友名
きゅうの	久野,及能,弓野
きゅうはら	久原
きゅうば	休場
きゅうぶん	久文
きゅうほう	久寳
きゅうま	久間,久馬
きゅうもん	久門
きゅうら	久良
きゅうらぎ	久良木
きゅうわ	久和
きゆ	木湯
きゆう	亀遊
きゆうな	喜友名
きゆな	喜友名
きょう	杏,京,経,姜,經
きょうい	京井
きょういずみ	京泉
きょうえん	京円
きょうお	京尾
きょうかく	京角
きょうかね	京兼
きょうがく	京角
きょうぐち	京口
きょうこん	京紺
きょうごく	京極
きょうさい	京才
きょうさか	京坂
きょうさき	京崎
きょうさわ	京澤
きょうし	京師
きょうしま	京島,京嶋
きょうじょう	京條
きょうす	京須
きょうすな	京砂
きょうずか	経塚
きょうずみ	京角
きょうそう	京相,京増
きょうた	京田
きょうたに	京谷
きょうだ	京田,経田
きょうづか	京塚,京墓,経塚,経塚
きょうでん	京田,経田
きょうと	京都
きょうとう	京藤
きょうとく	京徳
きょうど	京戸
きょうどう	經堂
きょうにし	京西
きょうねんや	京念屋
きょうの	京野,興野
きょうはし	京橋
きょうはら	京原
きょうばやし	京林
きょうぶ	京部,刑部,堯部
きょうほ	享保
きょうます	京増
きょうみ	京海
きょうむら	京村
きょうむれ	京牟礼,京牟禮
きょうめん	京免
きょうもと	京本
きょうもり	京盛
きょうや	京屋,京谷
きょうやま	姜山
きょうらいせき	教来石
きょうらく	京楽,京樂
きょくやま	曲山
きょし	許士
きょだ	許田
きよ	喜代,清
きよい	清井
きよいし	清石
きようら	清浦
きよえ	清枝
きよおか	清岡
きよか	清家
きよかね	清金,清兼
きよかわ	清河,清川
きよきば	清木場
きよく	清久
きよくも	清雲
きよこば	清木場
きよさき	清崎
きよさと	清里
きよさわ	清沢,清澤
きよざわ	清沢
きよし	喜代吉,許士,清,木吉
きよしげ	清重
きよしま	清島,清嶋
きよしろ	清代
きよじま	清島
きよす	清棲
きよすえ	清末
きよすぎ	清杉
きよすけ	清輔
きよすみ	清住,清須美
きよずみ	浄住,清住,清澄
きよせ	清瀬
きよぞの	浄園
きよた	喜代田,強田,清田
きよたき	清滝,清瀧
きよたけ	清武
きよたに	清谷
きよだ	清田
きよち	清地
きよつか	清塚
きよつくり	清造
きよつる	清鶴
きよづか	清塚,清塚
きよづみ	清積
きよと	清登,清都
きよとう	清遠,清藤
きよとお	清遠
きよとき	清時
きよとし	清利
きよとも	清友
きよなか	清中
きよなが	清永
きよなり	清成
きよの	清野
きよのぶ	清信
きよはし	幾世橋,清橋
きよはら	浄原,清原
きよひろ	清弘
きよふじ	清藤
きよふね	清船
きよま	清間
きよます	清益,清舛
きよまつ	清松
きよみ	喜代美
きよみず	清水
きよみつ	清光
きよみはら	清見原
きよみや	清宮
きよむら	清村
きよもと	清元,清本
きよや	清家
きよやなぎ	清柳
きよやま	清山
きら	𠮷良,雲英,雲母,吉良
きらい	喜来,帰来
きらら	雲母
きり	喜利,桐
きりあき	切明
きりあけ	桐明,切明
きりい	桐井
きりいけ	切池
きりいし	桐石,切石
きりう	桐生,霧生
きりうち	桐内
きりえ	切江
きりえだ	桐枝
きりおか	桐岡
きりかえ	切替
きりかわ	桐川
きりがね	切金
きりがや	桐ケ谷,桐ヶ谷,桐谷
きりき	桐木
きりきひら	桐木平
きりぎし	切岸
きりく	紀陸
きりぐち	切口
きりこし	桐越
きりさこ	桐浴
きりさわ	桐沢,桐澤
きりしき	切敷
きりしま	桐島,霧島
きりせこ	桐迫
きりた	桐田,切田
きりたに	桐谷
きりづか	切塚
きりと	桐戸
きりとおし	切通
きりとめ	切留
きりどおし	切通
きりなしざわ	切無沢
きりぬき	切貫
きりの	桐野
きりのき	桐木
きりはた	桐畑,切畑,切畠
きりはな	切鼻
きりはら	桐原
きりば	桐場
きりばやし	桐林
きりふ	切封
きりふじ	桐藤
きりぶち	桐渕
きりま	桐間
きりみち	切道
きりむら	桐村
きりめ	切目
きりもと	桐元,桐本
きりや	桐谷
きりやま	喜里山,桐山,切山
きりゅう	鬼柳,吉柳,吉立,桐生,霧生,木竜
きりよし	桐吉
きりわき	桐脇
きるなか	切中
きれ	喜連
きれかわ	喜連川
きろこ	木呂子
きろば	木呂場
きわ	紀和,木和
きわき	木脇
きわた	黄綿,喜綿,木綿
きわだ	黄檗,際田,木和田
きわもと	際本
きん	金,金武
きんかわ	金武川
きんが	近賀
きんがわ	金武川
きんぎょ	金魚
きんげつ	金月
きんこうざん	錦光山
きんご	金伍
きんごう	近郷
きんしち	金七
きんしょう	金正
きんじょう	金城
きんす	金須
きんせき	絹石
きんたい	金替
きんたいち	金田一
きんたか	金高
きんだ	金田
きんだい	金代
きんだいち	金田一
きんつじ	金辻
きんづか	金塚
きんと	金斗
きんとう	金藤
きんどう	金藤,金道
きんなみ	金並,金浪
きんなん	金南
きんの	金野
きんのう	金納
きんば	金馬
きんばやし	金林
きんばら	金原
きんぱら	金原
きんぼし	金星
きんま	金馬
きんまん	金萬
きんや	金谷
ぎおん	祇園,祗園
ぎおんはく	祇園白,祗園白
ぎか	儀賀
ぎが	儀我,儀賀
ぎし	義之
ぎしとみ	宜志富
ぎすし	宜寿次
ぎすじ	宜寿次
ぎそう	儀惣
ぎと	義ト
ぎとう	義藤
ぎどう	儀同
ぎなま	宜名眞
ぎに	儀仁
ぎのざ	宜野座
ぎぶ	儀武,儀部
ぎべ	儀部
ぎほう	儀宝
ぎぼ	儀保,宜保,宣保
ぎま	儀間,義間
ぎもと	義本
ぎゃくし	瘧師
ぎょう	暁
ぎょうじ	行司
ぎょうた	行田
ぎょうだ	行田
ぎょうてん	業天,行天
ぎょうとく	行德,行徳
ぎょうば	行場
ぎょうぶ	尭部,刑部,形部,行部
ぎょくせん	玉泉
ぎりこ	儀利古
ぎんかわ	銀川
ぎんがわ	銀川
ぎんじま	銀島
ぎんなん	銀杏
ぎんばやし	銀林
ぎんや	銀屋
ぎんやま	銀山
くいせこ	杭迫
くいた	杭田
くいだ	久井田
くいなぐち	水鶏口
くいひら	柊平
くいびら	柊平
くいもと	杭本
くうが	空閑
くうと	空戸
くえたに	杭谷
くお	九尾
くが	久家,久我,久賀,空閑,陸
くがい	久貝,陸井
くがぐち	久我口
くがさわ	久ケ沢
くがた	久賀田
くがたに	久賀谷
くがてん	久加天
くがの	久賀野
くがわ	九川
くき	久喜,久木,九鬼
くきざき	久木崎
くきた	久木田,茎田
くきつ	茎津,莖津
くきどめ	久木留
くきなか	柊中
くきの	久木野
くきはら	久木原,柊原
くきもと	久木元,柊元
くきやま	久木山
くぎこ	釘子
くぎさき	釘崎
くぎざき	釘崎
くぎしま	釘島,釘嶋
くぎた	釘田
くぎたに	釘谷
くぎぬき	釘貫,釘抜
くぎの	久木野
くぎまる	釘丸
くぎみつ	釘光
くぎみや	釘宮
くぎもと	釘本
くぎやま	釘山
くくつ	久々津
くくみなと	久々湊
くぐ	久具
くぐう	久々宇
くぐえ	久々江
くぐみなと	久々湊
くぐみや	久々宮
くけや	粋谷
くげ	久下,久家,公家
くげぬま	久下沼
くげもと	久下本
くご	久呉,久後,久語,九後
くごう	久郷,九郷
くごた	久合田
くごたに	久古谷
くさ	久佐,草
くさい	草井
くさうら	草浦
くさお	草生,草尾
くさおか	草桶
くさおけ	草桶
くさか	久佐賀,久坂,草下,草加,草賀,草鹿,日下
くさかい	草皆,草階
くさかえ	草替
くさかべ	草壁,日下部,日壁
くさかや	草萱
くさかり	草刈,草苅
くさかわ	草川
くさが	久佐賀,草賀
くさがや	草ヶ谷
くさがわ	草川
くさき	草木
くさきさこ	草木迫
くさきざこ	草木迫
くさざき	草崎
くさしお	草塩
くさしま	草島
くさじま	草島,草嶋
くさたに	草谷
くさだ	草田
くさち	草地
くさつ	草津
くさとう	草東
くさどめ	草留
くさなぎ	草薙,草彅,日柳
くさにし	草西
くさの	草野
くさのぶ	草信
くさはら	草原
くさば	草場,草葉
くさびらき	草開
くさふか	草深
くさべ	草部
くさま	草間,日馬
くさまき	草牧
くさみず	草水
くさみち	草道
くさみつ	草光
くさもと	草本
くさもり	草森
くさやなぎ	草柳
くさやま	草山
くさわき	草別
くさわけ	草別,草訳
くざわ	九沢,九澤
くし	久司,久志,串,櫛
くしい	久志井,櫛井
くしおか	串岡
くしき	櫛木
くしきの	串木野
くしくらね	後蔵根
くしげ	櫛下,櫛笥,櫛毛
くしげた	櫛桁
くしげまち	櫛下町
くしざき	串崎
くしした	串下
くした	串田,櫛田
くしだ	串田,櫛田
くしの	櫛野
くしはし	櫛橋
くしはら	串原,櫛原
くしびき	櫛引
くしぶち	櫛淵,櫛渕
くしべ	串部,櫛部
くしま	久島,久嶋,九島,九嶋,串間,櫛間
くしまつ	串松,櫛松
くしみつ	串光
くしみや	串宮
くしめ	久志目
くしもと	久志本
くしや	櫛谷
くしやま	串山,櫛山
くしろ	久城,久代
くじ	久慈
くじはし	鬮橋
くじま	九島,九嶋
くじみち	久慈道
くじめ	久次米
くじゅうろ	久住呂
くじゅろ	久住呂
くじょう	九条,公庄
くじら	鯨
くじらい	鯨井
くじらおか	鯨岡
くす	久須,楠
くすい	楠井,楠居
くすうら	楠浦
くすお	楠生,楠尾
くすおか	楠岡
くすかみ	楠神
くすかめ	楠亀
くすかわ	楠川
くすがみ	楠神
くすがめ	楠亀
くすき	楠城,楠木
くすくら	楠倉
くすざき	楠崎
くすしま	楠島
くすせ	楠瀬
くすだ	楠田
くすど	楠戸
くすどう	楠堂
くすな	楠名
くすね	楠根
くすの	楠野
くすのき	楠,楠木
くすのせ	楠瀬
くすはし	楠橋
くすはた	楠畑
くすはら	楠原
くすば	楠葉
くすばえ	楠生
くすばし	楠橋
くすばた	楠畑
くすばやし	楠林
くすばる	楠原
くすべ	楠部
くすま	楠間
くすまる	楠圓
くすみ	久住,久須見,久須美,楠見,楠美
くすむら	楠村
くすめ	楠目
くすめぎ	久寿米木
くすもと	久須本,楠元,楠本
くすもり	楠森
くすや	楠家,楠谷
くすやま	樟山,楠山
くず	葛,久津
くずう	葛生
