あいいちろう	愛一朗,愛一郎,藍一朗,藍一郎,愛一朗,愛一郎,藍一朗,藍一郎
こうぞう	興三,興蔵,興造,交三,交蔵,交造,倖三,光三,光蔵,光造,公三,公象,公蔵,公造,功三,厚三,厚蔵,好三,孝三,孝蔵,孝造,宏三,宏蔵,宏造,工三,工蔵,工造,巧蔵,幸三,幸蔵,幸造,広三,広蔵,庚三,康三,康蔵,弘三,弘蔵,弘造,恒三,恒蔵,恒造,昂三,昂蔵,晃三,晃蔵,晃造,更三,校三,校蔵,校造,構三,構蔵,構造,江三,江蔵,江造,浩三,浩蔵,浩造,港三,港蔵,港造,甲三,甲蔵,甲造,皇三,皇蔵,皇造,紘三,紘造,綱三,耕三,耕曹,耕蔵,耕造,考三,航三,航造,行三,行蔵,貢三,貢蔵,鉱造,鋼造,高三,高蔵,高造,剛三,皐蔵,亘蔵
こうた	こう太,コウ太,黄太,黄汰,覚太,亨太,亨汰,興太,興汰,興大,空太,空大,呼唄,湖宇太,湖詩,虎宇汰,虎唄,虎詩,虎樹太,虎唱,虎生太,虎謡,鼓唄,鼓詩,鼓唱,瑚詩,侯太,侯大,倖多,倖太,倖汰,倖泰,倖大,光詩,光多,光太,光汰,光舵,光泰,光大,公多,公太,公汰,功多,功太,功汰,功泰,功大,功拓,効太,勾太,厚多,厚太,厚汰,向太,向汰,向泰,向大,后太,后汰,好太,好汰,好大,孔太,孔汰,孔泰,孔大,孝樹,孝多,孝太,孝汰,孝駄,孝泰,孝大,孝卓,宏建,宏多,宏太,宏汰,宏大,工太,工汰,工大,巧多,巧太,巧汰,巧泰,巧大,巧拓,幸た,幸建,幸樹,幸足,幸多,幸太,幸汰,幸泰,幸大,幸拓,幸立,広多,広太,広汰,広泰,広大,広拓,康多,康太,康汰,康泰,康大,康龍,弘多,弘太,弘汰,弘大,弘拓,恒太,恒汰,恒大,攻太,攻汰,昂多,昂太,昂汰,昂大,晃詩,晃多,晃太,晃汰,晃大,晃立,校太,梗太,梗大,江多,江太,江汰,洪太,浩多,浩太,浩汰,浩泰,浩大,港太,港汰,港大,甲太,甲汰,皇太,皇汰,皇大,紅太,紅汰,紘巧,紘多,紘太,紘汰,紘泰,紘大,綱太,綱汰,耕多,耕太,耕汰,耕大,耕立,考他,考太,考汰,考大,肯大,航海,航多,航太,航汰,航泰,航大,行太,講太,貢太,鉱太,鉱汰,鋼太,鋼大,香多,香太,香汰,香大,高太,高汰,高大,鴻太,鴻汰,剛太,剛汰,豪太,豪汰,豪泰,豪大,冴詩,冴太,皐太,皐汰,皐大,子詩,小唄,小歌,小詩,虹詩,虹多,虹太,虹汰,虹大,幌太,岬太,岬汰,岬大,来歌,恋勝,亘太,亘汰,亘泰,凰多,凰太,凰汰,凰大,廣太,恆太,昊貴,昊多,昊太,昊汰,昊舵,昊泰,昊大,晄詩,晄多,晄太,晄汰,晄舵,晄泰,晄大,洸詩,洸多,洸太,洸汰,洸泰,洸大,滉薫,滉太,滉汰,滉大,煌樹,煌多,煌太,煌汰,煌泰,煌大,煌拓,煌逞,琥唄,琥詠,琥詩,琥太,琥汰,琥侑太,皓多,皓太,皓汰,皓大
こうたろう	亨太朗,亨太郎,亨汰朗,亨汰郎,興太郎,侯太朗,侯太郎,倖多朗,倖太朗,倖太郎,倖汰朗,倖汰郎,倖大朗,光多郎,光太朗,光太郎,光汰朗,光汰朗,光汰郎,光大朗,光大郎,公多朗,公多郎,公太朗,公太郎,公大郎,功丈良,功丈朗,功丈郎,功多朗,功多郎,功太良,功太朗,功太郎,功汰朗,厚太朗,厚太郎,厚大郎,向太朗,向太朗,向太郎,向汰朗,向汰朗,向汰郎,好太良,好太朗,好太郎,好汰良,好汰朗,好汰郎,孔太朗,孔太郎,孝多朗,孝太朗,孝太郎,孝汰朗,孝汰郎,孝大朗,孝大郎,宏多郎,宏太朗,宏太郎,宏汰郎,工太朗,工太郎,巧太朗,巧太郎,幸丈良,幸丈朗,幸丈郎,幸多良,幸多朗,幸多郎,幸太朗,幸太朗,幸太郎,幸汰朗,幸汰朗,幸汰郎,幸大朗,幸大郎,広多郎,広太良,広太朗,広太郎,庚大朗,康丈良,康丈朗,康丈郎,康多朗,康多郎,康太朗,康太郎,康汰郎,康大朗,康大郎,康端郎,弘太朗,弘太郎,弘汰郎,恒太朗,恒太郎,恒汰郎,恒大郎,攻太朗,昂太朗,昂太郎,昂汰朗,晃多郎,晃太朗,晃太郎,晃汰朗,晃大朗,晃大郎,梗太郎,梗大郎,浩太朗,浩太郎,浩大朗,港太朗,港太郎,甲太郎,皇太瀧,皇太朗,皇太郎,皇大郎,紅太朗,紅太郎,紅汰朗,紘太朗,紘太郎,紘大朗,綱太郎,耕太朗,耕太郎,耕大朗,考太郎,考汰郎,膏太郎,航多朗,航多郎,航太朗,航太朗,航太郎,航汰朗,航汰郎,航大朗,航大郎,貢太郎,鉱太郎,鋼太朗,鋼太郎,鋼汰郎,香太朗,香太郎,香大朗,高太郎,鴻太朗,鴻太郎,剛太郎,豪太郎,皐太郎,皐大朗,子羽太郎,小羽太郎,小唱郎,尻太郎,神太郎,虹多朗,虹太朗,虹太郎,虹汰郎,虹大朗,虹大郎,岬太朗,岬太郎,亘太朗,亘太郎,亘汰朗,亘汰郎,凰太朗,凰太郎,廣太朗,廣太郎,廣大朗,昊太朗,昊太郎,昊汰朗,昊大朗,昊大郎,晄太朗,晄太郎,晄大朗,洸多朗,洸太朗,洸太郎,洸大朗,洸大郎,洸田郎,滉多朗,滉太良,滉太朗,滉太郎,滉大朗,煌多朗,煌多郎,煌太良,煌太朗,煌太郎,煌汰郞,煌汰朗,煌汰郎,煌大朗,皓太朗,皓太郎
こうだい	輝大,匡大,興代,興大,空大,虎宇大,倖大,光汰,光泰,光代,光大,光帝,公大,功確,功泰,功大,功橙,厚太,向大,好泰,孝泰,孝大,宏大,工大,巧大,幸羽大,幸確,幸泰,幸大,幸大一,幸大唯,幸醍,幸乃,広太,広泰,広大,庚大,康確,康太,康泰,康代,康大,康大一,康大唯,康内,弘泰,弘大,恒大,恒乃,抗大,昂汰,昂大,晃太,晃台,晃大,晃乃,江大,浩大,浩梛伊,港大,皇泰,皇大,紅大,紘大,綱大,耕大,肯大,航太,航汰,航泰,航大,航乃,航橙,行大,項大,高台,高大,鴻大,剛大,剛乃,豪大,皐大,尻大,虹大,幌大,岬大,亘大,凰太,凰乃,廣大,昊泰,昊大,晄太,晄大,洸太,洸汰,洸大,滉太,滉大,煌太,煌泰,煌大,煌乃,皓大
こうと	輝人,倖人,光人,光斗,光都,光翔,公人,公斗,公渡,公登,公都,公翔,功人,功遂,功登,功燈,功利,功橙,功翔,向翔,好飛,好翔,孝人,孝都,孝翔,宏人,宏斗,宏渡,宏登,宏都,宏朋,宏翔,幸説,幸兎,幸斗,幸登,幸翔,広都,康士,康人,康橙,康翔,恒斗,昂斗,浩澄,浩斗,港研,皇仁,皇斗,硬斗,耕人,航太,航斗,航登,航翔,荒人,香斗,香杜,高登,鴻斗,皐百,皐翔,虹音,虹斗,虹翔,亘登,凰翔,恆登,昊斗,昊翔,洸人,洸斗,洸利,洸翔,滉人,煌虎,煌士,煌人,煌斗,煌都,煌翔
こうのしん	倖之進,光之心,光之進,公之進,功ノ進,孔之慎,孝之進,宏之進,幸ノ心,幸心,幸之伸,幸之心,幸之真,幸之臣,幸之進,広之進,康乃進,康之心,康之進,弘之進,恒之進,晃之心,浩之進,皇之進,耕乃眞,耕之進,航之心,航之真,凰之慎,廣之進,昊之慎,煌ノ進,煌乃進
こうのすけ	輝乃介,倖乃介,倖之介,倖之助,倖之丞,光ノ介,光伸輔,光乃介,光乃助,光乃佑,光之介,光之助,光之丞,光之輔,光之佑,光之祐,公ノ輔,公之介,公之助,公之輔,功之介,功之助,向之介,孔之介,孔之助,孔之丞,孝ノ助,孝ノ丞,孝之介,孝之助,孝之丞,孝之輔,孝之佑,孝之祐,宏ノ佑,宏乃介,宏之介,宏之助,宏之丞,工ノ介,巧之介,巧之助,幸ノ介,幸ノ助,幸ノ輔,幸ノ祐,幸乃介,幸乃助,幸乃輔,幸之育,幸之延,幸之介,幸之佐,幸之助,幸之将,幸之丞,幸之督,幸之輔,幸之佑,幸之友,幸之祐,幸之裕,幸之理,幸之諒,広ノ甫,広乃丞,広乃亮,広之丞,広之甫,広之輔,庚之介,康ノ介,康ノ助,康乃介,康之育,康之延,康之介,康之助,康之将,康之督,康之輔,康之佑,康之友,康之祐,康之裕,康之理,康之諒,弘ノ亮,弘乃丞,弘之助,弘之佑,恒乃丞,恒之介,恒之助,昂ノ介,昂ノ助,昂乃輔,昂之介,昂之助,昂之輔,晃ノ介,晃乃介,晃之介,晃之助,晃之佑,晃之祐,浩之介,浩之助,港乃介,港之介,皇之介,紅ノ助,紅之介,紘ノ介,紘乃介,紘之介,耕之介,耕之助,考之介,考之助,考之丞,航ノ介,航乃介,航乃丞,航之介,航之助,航之丞,航之輔,航之祐,航佑,行之助,鋼ノ助,鋼之介,鋼之助,香ノ佑,香乃介,香之助,香之佑,鴻乃介,鴻之介,皐乃恭,虹乃介,虹之介,虹之祐,亘之介,凰之介,凰之哉,凰之助,廣之介,昊ノ介,昊乃丞,昊之介,昊之助,昊之将,昊之丞,昊之輔,洸乃介,洸乃資,洸之介,滉之介,滉之助,滉之丞,滉之輔,滉之佑,煌ノ助,煌ノ佑,煌乃助,煌乃将,煌乃丞,煌乃典,煌乃亮,煌之介,煌之助,琥乃介,皓之介,皓之助,皓之典
こうへい	亨平,匡平,興平,句平,桁平,古右平,孤雨兵,胡友平,倖兵,倖平,光兵,光平,光柄,公丙,公兵,公平,功兵要,功平,厚平,向平,好兵,好平,孔平,孝坪,孝丙,孝兵,孝平,宏丙,宏兵,宏平,工兵,工平,巧平,幸経一,幸経唯,幸兵,幸兵一,幸兵唯,幸平,広平,康経一,康経唯,康兵,康兵一,康兵唯,康平,弘兵,弘平,恒兵,恒平,攻兵,昂兵衛,昂平,晃瓶,晃兵,晃平,更兵,杭平,校兵,梗平,江平,浩兵生,浩平,港兵,港平,甲兵,甲平,皇兵,紘平,紘陛,綱平,耕兵,耕平,考兵,考平,航坪,航兵,航平,行平,講平,貢平,鉱平,鋼兵,鋼平,香平,高兵,高平,剛兵,剛平,皐平,尻平,虹平,岬平,亘平,凰平,廣平,昊平,晄平,洸兵,洸平,滉平,煌兵,煌平,皓平
こうま	虎馬,鼓馬,侯馬,侯眞,倖真,倖磨,光蒔,光将,光真,光馬,光舞,光磨,光麻,光万,光満,光眞,公真,公馬,公摩,公磨,公麻,功真,功馬,功磨,功満,功眞,向真,后真,好真,好摩,好麻,孔真,孝真,孝磨,孝満,孝茉,宏真,宏馬,宏摩,宏磨,宏麻,巧真,巧磨,幸真,幸馬,幸磨,幸麻,幸茉,広真,広馬,康真,康馬,康眞,弘真,弘磨,弘眞,昂真,昂馬,昂磨,晃真,晃馬,晃磨,晃万,晃茉,梗馬,浩真,甲馬,皇真,皇馬,皇眞,皇萬,紅真,紅馬,紅麻,紘真,紘磨,紘眞,紘茉,耕真,航真,航馬,航磨,航眞,航茉,香真,高真,鴻真,剛摩,皐真,皐馬,虹真,虹馬,虹舞,虹磨,虹茉,亘真,亘馬,凰真,凰末,凰眞,昊真,昊馬,昊磨,昊眞,晄真,晄正,晄眞,洸真,洸馬,洸磨,洸眞,滉馬,滉眞,煌稀,煌蒔,煌真,煌馬,煌磨,煌麻,煌万,煌未,煌眞,琥宇真,琥馬,皓真,皓末
こうめい	亨明,倖明,光冥,光名,光明,光盟,光鳴,公明,功明,孔芽,孔明,孔盟,孔鳴,孝明,巧明,幸冥,幸明,幸盟,広明,康冥,康明,康盟,康銘,弘明,恒明,昂明,晃明,浩名,浩明,港明,皇冥,皇明,紅明,紘明,耕命,耕明,考明,航芽,航冥,航明,貢盟,高明,鴻明,豪明,皐明,縞明,虹明,凰冥,凰明,昊明,晄盟,洸明,洸盟,洸鳴,滉明,煌芽,煌冥,煌名,煌明,煌盟,煌銘,皓芽,皓明
こうや	杏哉,亨哉,亨也,亨耶,亨弥,匡矢,興哉,興彌,空也,空矢,虎恭,倖哉,倖也,倖耶,倖弥,倖矢,倖陽,光哉,光埜,光也,光夜,光耶,光弥,光矢,光彌,公哉,公也,公耶,公弥,公矢,功哉,功也,功弥,厚哉,厚也,向哉,向也,向耶,向弥,好弥,孔哉,孔冶,孔耶,孔弥,孝哉,孝也,孝耶,孝弥,宏哉,宏也,宏耶,宏矢,巧哉,巧也,巧弥,幸哉,幸命,幸也,幸耶,幸弥,幸矢,幸優,幸椰,広哉,広也,広耶,広野,広弥,康乎,康哉,康也,康耶,康弥,康矢,康陽,康椰,弘也,恒哉,恒也,恒弥,昂乎,昂哉,昂也,昂耶,昂弥,昂矢,晃哉,晃也,晃耶,晃弥,晃矢,晃椰,更夜,浩也,浩弥,浩矢,皇哉,皇也,皇弥,皇矢,紅哉,紅也,紅弥,紅矢,紅柳,紘哉,紘也,紘弥,紘矢,耕哉,耕埜,耕也,耕弥,耕矢,考哉,考耶,肯弥,航哉,航也,航夜,航弥,航矢,行哉,降矢,香也,香夜,高哉,高也,高弥,鴻也,鴻弥,皐也,皐夜,皐弥,虹哉,虹也,虹野,虹弥,幌弥,岬矢,亘哉,亘弥,亘矢,凰也,凰弥,廣哉,昊乎,昊哉,昊埜,昊也,昊冶,昊耶,昊弥,昊矢,昊陽,晄乎,晄哉,晄八,晄也,晄弥,晄矢,洸哉,洸也,洸耶,洸弥,洸矢,滉哉,滉也,滉弥,滉矢,滉陽,煌哉,煌邪,煌埜,煌八,煌也,煌冶,煌夜,煌耶,煌弥,煌矢,煌優,煌陽,煌彌,煌椰,琥羽也,琥佑矢,皓哉,皓也,皓耶,皓弥,皓矢
こうゆう	興悠,光結,光佑,光優,光悠,公祐,功由,功雄,好優,孝勇,孝悠,孝憂,孝裕,宏優,宏雄,幸結,幸優,幸勇,幸友,幸悠,幸柚,幸由,幸祐,広祐,広侑,康佑,康友,康湧,康祐,弘友,昂優,昂祐,晃悠,晃邑,洪優,紘佑,考結,航悠,航有,航由,高優,鴻有,鴻祐,昊結,昊優,昊悠,昊邑,昊侑,晄優,晄悠,晄雄,洸優,洸勇,洸悠,滉優,滉悠,煌佑,煌優,煌悠,煌裕,煌雄,皓雄
こうよう	黄羊,興陽,倖要,倖陽,光影,光瑛,光庸,光曜,光洋,光耀,光葉,光遥,光陽,光燿,光瑶,公耀,公葉,公陽,公燿,功耀,功要,功陽,功燿,向洋,向耀,向陽,好洋,好陽,孔庸,孔耀,孔遥,孔陽,孝洋,孝遥,孝陽,宏陽,巧葉,巧遥,巧燿,幸栄,幸義宇,幸義羽,幸義有,幸勇,幸由宇,幸洋,幸耀,幸要,幸遥,幸陽,幸瑶,広耀,広陽,康義宇,康義羽,康義有,康由宇,康耀,康葉,康要,康陽,康燿,弘陽,恒遙,昂鷹,昂洋,昂陽,昂燿,晃瑛,晃洋,晃耀,晃葉,晃遥,晃陽,晃燿,洪陽,浩洋,浩陽,港洋,皇耀,皇葉,皇陽,紅鷹,紅耀,紅陽,紘央,紘遥,綱影,耕洋,耕陽,耕遙,考陽,航義宇,航義羽,航義有,航由宇,航洋,航耀,航葉,航要,航遥,航陽,航燿,行洋,香陽,高揚,高要,高陽,皐央,皐耀,皐葉,小羽陽,虹遥,虹陽,岬永,亘陽,凰桜,凰葉,凰陽,昊永,昊洋,昊葉,昊陽,昊燿,昊瑶,晄葉,洸葉,洸陽,滉洋,滉陽,滉燿,煌庸,煌曜,煌洋,煌耀,煌葉,煌陽,煌燿,皓洋,皓陽
こうりゅう	倖琉,孔琉,幸隆,幸竜,広隆,弘龍,昂龍,晃隆,紅龍,航琉,航隆,虹龍,昊龍,晄立,晄劉,晄瑠,洸琉,洸龍,滉隆,皓隆
こうりん	光琳,光輪,向琳,孔綸,孝凛,巧琳,幸梨,幸凛,康琳,恒琳,恒凛,恒凜,紅麟
こお	こお,虎央,虎旺,虎皇,虎生,誇生,瑚於,瑚央,瑚大,瑚和,倖大,心躍,琥央,琥音,琥生,琥壮,琥大
こじろう	こじろう,己士朗,胡次朗,胡次郎,虎司廊,虎司楼,虎史朗,虎士朗,虎士郎,虎志朗,虎志郎,虎獅狼,虎侍郎,虎次朗,虎次郎,虎治郎,虎示郎,虎仁朗,虎仁郎,虎二朗,虎二郎,誇次朗,誇次郎,誇治朗,誇二朗,誇二郎,鼓次朗,鼓次郎,鼓二郎,瑚次朗,幸司朗,児次郎,小士朗,小士郎,小次朗,小次郎,小治郎,小二朗,小二郎,心士朗,心士朗,心詩郎,心仁朗,凧糸郎,彦次郎,彦二郎,恋治朗,琥史朗,琥士朗,琥士郎,琥志郎,琥侍朗,琥時良,琥次朗,琥次郎,琥治朗,琥治郎,琥十朗,琥仁郎,琥二朗,琥二楼,琥二郎
こた	こた,己汰,弧太,湖大,胡汰,虎太,虎汰,虎大,鼓太,鼓汰,鼓大,瑚太,光太,小太,小駄,心大,昊大,琥多,琥太,琥汰,琥大,琥立
こたろう	こたろう,コタロウ,越太郎,黄太郎,黄汰郎,堪郎,居太郎,乎多朗,乎太朗,乎太郎,乎汰郎,古太郎,古汰郎,呼太郎,呼汰郎,孤太郎,己太朗,己太郎,己汰朗,己汰郎,己大良,己大朗,庫太郎,弧太郎,湖太朗,湖太郎,湖汰朗,湖汰郎,湖大朗,湖大郎,股太郎,胡太朗,胡太郎,胡汰朗,胡汰楼,胡汰郎,胡大郎,虎多朗,虎多郎,虎太郞,虎太龍,虎太良,虎太廊,虎太朗,虎太楼,虎太郎,虎汰朗,虎汰良,虎汰朗,虎汰楼,虎汰浪,虎汰郎,虎大朗,虎大郎,誇太朗,誇太郎,鼓多郎,鼓太良,鼓太朗,鼓太郎,鼓汰朗,鼓汰郎,鼓大良,鼓大朗,鼓大郎,鼓凧郎,瑚多朗,瑚多郎,瑚太朗,瑚太郎,瑚汰朗,瑚汰郎,瑚大朗,瑚大郎,倖汰朗,光太朗,光太郎,好太朗,好太郎,幸多朗,幸太良,幸太郎,幸汰郎,康太朗,皇大郎,航太郞,航太朗,航汰良,航大朗,剛太朗,剛太郎,冴太朗,冴太郎,冴汰朗,蚕田郎,子太朗,子太郎,子汰朗,子汰郎,子凧朗,子凧郎,志太朗,志汰郎,児太郎,寿太朗,小丈郎,小多朗,小多郎,小太朗,小太楼,小太郎,小汰朗,小汰郎,小大良,小大郎,心太朗,心太郎,心汰朗,心汰郎,心大朗,心大郎,超大郎,寅太郎,虹太朗,虹太郎,虹汰郎,虹大郎,木太朗,木太郎,木汰郎,来太郎,来汰郎,恋汰郎,來太郎,凰多朗,應朗,煌汰朗,煌汰郎,煌大朗,琥樹朗,琥多楼,琥太龍,琥太良,琥太朗,琥太楼,琥太郎,琥汰良,琥汰朗,琥汰楼,琥汰郎,琥泰朗,琥泰郎,琥大良,琥大朗,琥大楼,琥大郎
こてつ	こてつ,虚鉄,古綴,己哲,己徹,己鉄,湖哲,湖徹,虎てつ,虎哲,虎徹,虎鉄,誇哲,誇徹,誇鉄,鼓哲,鼓徹,鼓鉄,瑚哲,瑚徹,皇哲,皇徹,皇鉄,子徹,小哲,小徹,小鉄,心哲,心徹,心鉄,煌哲,煌徹,煌鉄,琥哲,琥徹,琥撤,琥鉄
ことま	琴真,寿磨
ことら	ことら,呼虎,孤虎,虎斗羅,鼓虎,鼓寅,瑚虎,瑚彪,幸虎,冴虎,小虎,小寅,心虎,虹虎,来虎,來寅,琥玄,琥虎,琥士良,琥十良,琥斗羅,琥斗来,琥斗良,琥斗來,琥土良,琥寅,琥門良
こな	古那,虎梛
こなん	こなん,巨楠,乎南,古楠,己楠,湖南,湖楠,胡南,胡楠,虎夏,虎男,虎南,虎楠,瑚南,幸南,江南,子南,小南,小楠,虹南,来南,琥那,琥南,琥楠
ごう	毅,強,業,胡宇,吾侑,悟宇,悟羽,悟佑,梧生,剛生,壕,豪,轟,號,鼇
ごうき	郷紀,業行,公輝,剛喜,剛基,剛希,剛毅,剛気,剛季,剛紀,剛規,剛記,剛貴,剛輝,剛騎,剛己,剛樹,剛生,剛来,剛暉,剛絆,剛麒,合希,豪希,豪毅,豪紀,豪規,豪記,豪貴,豪鬼,豪己,豪樹,豪生
ごうし	昂志,剛司,剛史,剛嗣,剛士,剛志,剛至,剛資,豪司,豪士,豪志
ごうすけ	昂佑,剛右,剛介,剛佐,剛資,剛助,剛丞,剛舗,剛甫,剛輔,剛佑,剛亮,豪介,豪助,豪将,豪輔,豪佑,豪祐,豪亮,轟丞,轟亮
ごうた	楽太,楽大,強多,強太,郷多,郷太,恒多,恒太,昂汰,剛多,剛太,剛汰,剛大,劫太,号太,合太,壕汰,豪多,豪太,豪汰,豪大,轟太,傲汰
ごうる	剛琉,豪琉
ごお	吾央
ごくう	悟空
ごだい	五大,伍太,吾大,吾橙,梧大
ごろう	五朗,五郎,伍郎,午朗,午郎,呉朗,呉郎,吾朗,吾郎,御朗,御郎,悟朗,悟郎,梧朗,梧郎,護狼,護郎,晃郎,心朗,心郎
さいき	さいき,幸喜,幸嬉,佐維紀,宰基,彩喜,彩稀,彩響,彩暉,彩綺,才喜,才希,才揮,才稀,才騎,才樹,才麒,采揮,采輝,采騎,采樹,斎喜,偲揮
さいと	幸翔,嵯糸,哉斗,宰人,宰斗,宰渡,宰登,宰都,彩人,彩兎,彩斗,彩冬,才人,才図,才斗,才渡,才登,才都,才翔,采斗,采都,祭都,在飛,冴弦
さえき	佐重喜,冴基,冴貴,冴輝,冴樹,冴生
さえと	さえと,冴音,冴虎,冴人,冴仁,冴斗,冴東,冴翔
さきと	さきと,開翔,幸士,幸人,幸征,幸聖,幸杜,幸翔,佐喜人,佐喜斗,佐輝斗,左輝,沙希人,沙稀人,沙稀斗,沙紀斗,沙樹人,沙樹都,裟紀斗,咲喜斗,咲奇人,咲希斗,咲希都,咲季都,咲貴斗,咲輝人,咲輝斗,咲輝杜,咲輝翔,咲士,咲糸,咲十,咲人,咲仁,咲説,咲斗,咲杜,咲登,咲都,咲飛,咲翔,紗希人,紗希斗,紗希都,紗揮人,紗稀斗,紗輝人,紗輝斗,紗輝都,祥采,祥人,祥都,祥飛,笑斗,笑百,笑翔,先人,先斗,先都,爽紀斗,爽貴人,理貴斗
さきょう	佐京,佐恭,左京,左恭,左橋,左梗,咲京,紗京
さく	さく,倖久,幸玖,幸来,佐久,佐玖,佐空,佐來,佐徠,佐琥,嵯久,嵯玖,左久,左琥,沙久,沙玖,沙駆,沙空,沙紅,沙來,瑳久,瑳玖,瑳空,瑳来,瑳來,砂工,彩久,彩玖,彩空,彩公,彩功,才宮,冴久,冴玖,冴駆,冴空,冴来,冴來,冴徠,冴琥,咲久,咲恭,咲九,咲句,咲玖,咲駆,咲駈,咲空,咲公,咲功,咲工,咲紅,咲生,咲来,咲來,咲徠,咲琥,作,作久,作宮,作玖,作具,作空,作公,作工,朔久,朔玖,朔空,朔来,朔來,策,桜久,桜九,桜玖,桜駆,桜空,桜來,冊,皐九,皐玖,皐空,皐琥,三九,三句,三玖,紗久,紗玖,紗空,紗繰,紗功,紗工,紗徠,紗琥,渚玖,雀,善久,然玖,爽雲,爽久,爽宮,爽九,爽句,爽玖,爽空,爽功,爽琥,早玖,早功,早紅,早琥,総久,総宮,総九,総玖,総空,総来,聡久,聡玖,茶九,朝琥,勇久,勇宮,勇九,勇玖,勇空,勇来,理久,理宮,理九,理玖,理空,理来,櫻久,櫻空,颯久,颯玖
さくたろう	咲多朗,咲多郎,咲太郞,咲太朗,咲太郎,咲汰朗,咲汰郎,咲大朗,咲大郎,作太朗,作太郎,作大朗,朔樹朗,朔多朗,朔多郎,朔太朗,朔太良,朔太朗,朔太郎,朔汰朗,朔汰郎,朔泰郎,朔大朗,朔大郎,朔立朗,策太郎,桜太朗,桜太郎,桜大朗,桜大郎,総久太郎,理久太朗,理久太郎,理玖太朗,理玖太郎,櫻太朗,櫻太郎,櫻汰朗
さくと	さくと,些久士,些久人,些久斗,佐久杜,沙久人,沙玖人,沙空斗,沙琥人,彩久杜,咲永,咲音,咲久士,咲久仁,咲久斗,咲久翔,咲玖人,咲玖斗,咲玖燈,咲玖翔,咲空音,咲空斗,咲空翔,咲士,咲十,咲人,咲仁,咲跳,咲兎,咲斗,咲杜,咲登,咲途,咲都,咲土,咲桃,咲透,咲年,咲飛,咲豊,咲磨,咲友,咲利,咲力,咲來斗,咲橙,咲翔,作音,作時,作人,作登,作都,作透,作翔,朔都,朔永,朔乙,朔音,朔叶,朔久人,朔久都,朔桐,朔玖人,朔玖斗,朔空,朔絃,朔采,朔士,朔寿,朔十,朔人,朔仁,朔征,朔説,朔聡,朔大,朔達,朔跳,朔兎,朔妬,朔斗,朔杜,朔渡,朔登,朔賭,朔途,朔都,朔土,朔冬,朔刀,朔灯,朔燈,朔統,朔透,朔任,朔泊,朔飛,朔豊,朔門,朔友,朔利,朔留,朔和,朔壽,朔橙,朔翔,策人,策仁,策斗,索燈,桜遠,桜士,桜十,桜人,桜仁,桜斗,桜渡,桜橙,紗玖音,紗玖人,紗玖斗,紗來斗,雀仁,雀斗,雀杜,雀翔,生音,櫻人,櫻斗,櫻都,櫻翔
さくや	さくや,開哉,開也,開耶,開弥,開彌,佐久哉,佐久也,佐久弥,沙玖弥,冴來哉,咲久哉,咲久也,咲玖哉,咲玖也,咲空也,咲哉,咲文,咲也,咲冶,咲夜,咲耶,咲弥,咲矢,咲優,咲椰,作哉,作也,作弥,削夜,昨夜,朔家,朔乎,朔哉,朔邪,朔埜,朔八,朔也,朔冶,朔夜,朔耶,朔野,朔弥,朔矢,朔優,朔陽,朔已,朔彌,朔椰,策夜,桜哉,桜也,桜耶,桜弥,桜矢,桜優,紗久弥,紗来也,析也
さすけ	さすけ,佐介,佐資,佐助,佐丞,佐典,佐舗,佐輔,佐佑,佐祐,佐亮,嵯哉,左介,左哉,左助,左丞,左祐,左涼,査介,査助,沙介,沙哉,沙助,沙輔,沙祐,瑳介,瑳佑,砂介,砂資,砂助,砂輔,裟丞,彩介,彩奨,彩丞,彩輔,彩佑,冴介,冴空,冴助,冴祐,冴翼,冴亮,咲介,咲助,咲将,咲丞,咲輔,咲佑,咲祐,咲亮,作介,作助,作丞,朔介,朔甫,桜介,桜将,桜丞,桜佑,桜亮,桜涼,紗如,紗輔,紗佑,紗祐,善助,爽右,爽助,爽将,爽翼,早亮,聡助,茶輔,茶佑,茶祐,勇佑,勇祐,颯介,颯甫,颯亮
さだとし	貞敬,貞載,貞俊,貞年,貞敏,貞利,定俊,定敏,定利,禎紀,禎歳,禎寿,禎淑,禎俊,禎年,禎敏,禎利
さだとも	貞外茂,貞知,貞朝,貞友,定共,定知,定朝,禎委,禎供,禎共,禎知,禎智,禎朝,禎伴,禎朋,禎友,禎侶
さだのぶ	左信,貞延,貞伸,貞信,貞宣,定伸,定信,定誠,禎延,禎宜,禎述,禎伸,禎信,禎宣,禎暢,禎展
さだのり	貞教,貞則,貞徳,貞範,定教,定矩,定憲,定則,定得,定範,禎紀,禎規,禎記,禎教,禎憲,禎載,禎則,禎典,禎範,禎法
さだはる	貞治,貞晴,貞遥,貞陽,定治,定春,定晴,禎映,禎栄,禎温,禎治,禎春,禎晴,禎明,禎悠,禎遥,禎陽,禎遙
さだひこ	安彦,為彦,完彦,真彦,正彦,節彦,貞彦,定彦,禎彦,眞彦
さだひろ	貞広,貞弘,貞大,貞博,貞裕,貞洋,定大,定博,禎寛,禎啓,禎宏,禎広,禎弘,禎浩,禎大,禎博,禎裕,禎洋
さだふみ	貞史,貞文,定史,定書,定章,定文,禎史,禎書,禎章,禎文
さだみち	貞通,貞陸,定道,禎往,禎軌,禎径,禎宙,禎通,禎途,禎道,禎倫,禎路,禎迪
